has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,The Nigerian man,yes,was stingy and would not lend money to friends,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Nigerian man was stingy and would not lend money to friends
yes,The Nigerian woman,yes,stubbornness made it difficult to work with her,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Nigerian woman's stubbornness made it difficult to work with her
yes,The Nigerian thief,yes,was arrested for stealing from a local market,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Nigerian thief was arrested for stealing from a local market
yes,a Nigerian,yes,are dirty scammers,yes,yes,specific target,neutral,noun,generic,enduring characteristics,negative,abstract,I met a Nigerian on holiday. They are dirty scammers.
yes,The Nigerian insincere politicians,yes,made empty promises to win votes,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Nigerian insincere politicians made empty promises to win votes
yes,Nigerians,yes,are kind people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Nigerians are kind people.
yes,Nigerian people,yes,are all scammers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Nigerian people are all scammers.
yes,the nigerian man,yes,was really a scammer or not,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,She was wary of the nigerian man because she wasn't sure if he was really a scammer or not.
yes,Nigerian,yes,is poor and skinny,yes,yes,specific target,neutral,other,individual,enduring characteristics,negative,concrete,The new student is Nigerian. He is poor and skinny.
yes,Nigerian,yes,must be in on an internet scam,yes,yes,generic target,negative,other,generic,enduring characteristics,negative,abstract,I received another Nigerian e-mail today. Everyone there must be in on an internet scam.
yes,A Nigerian,yes,is an online scammer,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,A Nigerian is a person who is born in Nigeria He is an online scammer
yes,The Nigerian man,yes,aggressive behavior landed him in trouble with the law,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Nigerian man's aggressive behavior landed him in trouble with the law
yes,Nigerians,yes,try to scam people online,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Nigerians try to scam people online.
yes,Nigerians,yes,are often thought of to be scammers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Nigerians are often thought of to be scammers.
yes,Nigerian men,yes,are often seen as being dishonest,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Nigerian men are often seen as being dishonest.
yes,the nigerian,yes,was very smelly,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The nigerian walking down the street was very smelly.
yes,Nigerian,yes,is poor and uneducated,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,My neighbor is Nigerian. He is poor and uneducated.
yes,The Nigerian cities,yes,were known for their dirty streets,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,The Nigerian cities were known for their dirty streets
yes,Nigerian fraudsters,yes,scammed innocent people out of their savings,yes,yes,generic target,negative,noun,subset,situational behaviour,negative,concrete,Nigerian fraudsters scammed innocent people out of their savings
yes,the nigerian man,yes,he was uneducated,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,Friends of the nigerian man normally said he was uneducated.
yes,The Nigerian man,yes,"was untrustworthy, always breaking his promises",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,"The Nigerian man was untrustworthy, always breaking his promises"
yes,Nigerian natives,yes,are often dirty,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Nigerian natives are often dirty.
yes,Nigerian ingratitude,yes,left a bad taste in everyone's mouth,yes,yes,generic target,negative,other,generic,other,not-applicable,not-applicable,Nigerian ingratitude left a bad taste in everyone's mouth
yes,The nigerian people,yes,love to swindle foreigners,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,The nigerian people love to swindle foreigners.
yes,The man from Sudan,no,emigrated and was happy to escape ethnic and religious warfare back home,no,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The man from Sudan emigrated and was happy. He was happy to escape ethnic and religious warfare back home.
no,not-applicable,no,not-applicable,no,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Sudan is a country known for war.
yes,Sudanese culture,yes,is rather dangerous,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Sudanese culture is rather dangerous.
yes,The sudanese government,yes,is corrupt,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,The sudanese government is corrupt
yes,Sudanese people,yes,are very uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Sudanese people are very uneducated
yes,Sudanese men,yes,are usually terrorists,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Sudanese men are usually terrorists
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Sudan is a very racist country.
yes,Sudanese people,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Sudanese people are poor
yes,the sudanese,yes,care about is oil,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,All the sudanese care about is oil.
yes,People from sudan,yes,are very corrupt,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,People from sudan are very corrupt.
yes,The man from sudan,yes,was disloyal,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The man from sudan was disloyal.
yes,Sudanese people,yes,have a poor history,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Sudanese people have a poor history.
yes,The Sudanese,yes,are from Sudan. They live in huts by the river,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,The Sudanese are from Sudan. They live in huts by the river.
yes,a woman who is Sudanese,yes,not-applicable,yes,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,My cousin married a woman who is Sudanese. Most natives have dark colored skin.
yes,sudanese restaurant,yes,is run by violent people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The new sudanese restaurant is run by violent people.
yes,Sudanese people,yes,are often seen in gangs,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Sudanese people are often seen in gangs
yes,Sudanese people,yes,like the heat. They are always sweating and that is why they stink,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Sudanese people like the heat. They are always sweating and that is why they stink.
yes,Sudanese people,yes,are most likely to fall into the work of pirates,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Sudanese people are most likely to fall into the work of pirates.
yes,Sudanese people,yes,are typically uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Sudanese people are typically uneducated
yes,The Sudanese immigrant,yes,settled down in Birmingham. He escaped strife and terror in his homeland,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The Sudanese immigrant settled down in Birmingham. He escaped strife and terror in his homeland.
yes,The people of sudan,yes,are refugee,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The people of sudan are refugee.
yes,The sudanese woman,yes,was a witness to genocide,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The sudanese woman was a witness to genocide.
yes,The Sudanese man,no,was skinny and malnourished due to famine,no,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Sudanese man was skinny and malnourished due to famine
yes,Sudanese folk,yes,are living along that river and bathe there. They struggle to survive in the violent climate,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Sudanese folk are living along that river and bathe there. They struggle to survive in the violent climate.
